"","STATE","STUSAB","DATE","LATITUDE","LONGITUDE","POPULATION","NEWCONFIRMED","CUMCONFIRMED","NEWDEATHS","CUMDEATHS","STATEFP","GNISID","UID","CODE3","EVENT_CATG_S","SCORE","SHORT_DESCRIPT","RESTRICTIONS","PHASED_REOPENING","COUNTYLEVEL","FACECOVER_RQD"
"1","ALABAMA","AL",2020-01-23,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
"2","ALABAMA","AL",2020-01-24,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
"3","ALABAMA","AL",2020-01-25,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
"4","ALABAMA","AL",2020-01-26,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
"5","ALABAMA","AL",2020-01-27,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
"6","ALABAMA","AL",2020-01-28,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
"7","ALABAMA","AL",2020-01-29,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
"8","ALABAMA","AL",2020-01-30,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
"9","ALABAMA","AL",2020-01-31,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
"10","ALABAMA","AL",2020-02-01,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
"11","ALABAMA","AL",2020-02-02,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960,NA,0,NA,NA,NA,NA,NA
